cleabs,lat,lon,google_maps,usage_1,nature,etat_de_l_objet
BATIMENT0000000027646249,44.004784016647086,3.7789400605346133,"https://www.google.com/maps?q=44.004784016647086,3.7789400605346133",Agricole,Serre,En service
BATIMENT0000000027646252,44.00450618167771,3.7786786328942212,"https://www.google.com/maps?q=44.00450618167771,3.7786786328942212",Agricole,Serre,En service
BATIMENT0000000027646317,43.99916270340037,3.7157726027241056,"https://www.google.com/maps?q=43.99916270340037,3.7157726027241056",Agricole,Serre,En service
BATIMENT0000000027650382,43.99513911879856,3.765917089780504,"https://www.google.com/maps?q=43.99513911879856,3.765917089780504",Agricole,Serre,En service
BATIMENT0000000027650404,43.99077117520334,3.7403774244689663,"https://www.google.com/maps?q=43.99077117520334,3.7403774244689663",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027650406,43.990988077503154,3.7408181660576347,"https://www.google.com/maps?q=43.990988077503154,3.7408181660576347",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027650410,43.99718103635079,3.7356794016703376,"https://www.google.com/maps?q=43.99718103635079,3.7356794016703376",Agricole,Serre,En service
BATIMENT0000000027654774,43.98412520045367,3.7152899971037194,"https://www.google.com/maps?q=43.98412520045367,3.7152899971037194",Agricole,Serre,En service
BATIMENT0000000027660469,43.97975359448822,3.6826761444716984,"https://www.google.com/maps?q=43.97975359448822,3.6826761444716984",Agricole,Serre,En service
BATIMENT0000000027664223,43.9710993691645,3.8295440495871325,"https://www.google.com/maps?q=43.9710993691645,3.8295440495871325",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027664231,43.97130069521135,3.829523195645743,"https://www.google.com/maps?q=43.97130069521135,3.829523195645743",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027666893,43.96269346612813,3.8764254137601317,"https://www.google.com/maps?q=43.96269346612813,3.8764254137601317",Agricole,Serre,En service
BATIMENT0000000027669160,43.957235304326055,3.862550771820087,"https://www.google.com/maps?q=43.957235304326055,3.862550771820087",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027671325,43.9512396303314,3.8610186079509106,"https://www.google.com/maps?q=43.9512396303314,3.8610186079509106",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027671541,43.95147313093576,3.4326898373878896,"https://www.google.com/maps?q=43.95147313093576,3.4326898373878896",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027674398,43.94094639761456,3.5193201788159074,"https://www.google.com/maps?q=43.94094639761456,3.5193201788159074",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027676087,43.930713926756454,3.478296547377198,"https://www.google.com/maps?q=43.930713926756454,3.478296547377198",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027676103,43.93074774588247,3.4780486666482764,"https://www.google.com/maps?q=43.93074774588247,3.4780486666482764",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027676116,43.93126336956324,3.447057629099462,"https://www.google.com/maps?q=43.93126336956324,3.447057629099462",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027677791,43.92112392957376,3.436024236188231,"https://www.google.com/maps?q=43.92112392957376,3.436024236188231",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027681693,43.90453209274569,3.8644340877878713,"https://www.google.com/maps?q=43.90453209274569,3.8644340877878713",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027681721,43.909822658952855,3.5512326681452056,"https://www.google.com/maps?q=43.909822658952855,3.5512326681452056",Agricole,Serre,En service
BATIMENT0000000027683430,43.89495422350797,3.8610252825652234,"https://www.google.com/maps?q=43.89495422350797,3.8610252825652234",Agricole,Silo,En service
BATIMENT0000000027683435,43.895118680532406,3.860746892031972,"https://www.google.com/maps?q=43.895118680532406,3.860746892031972",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027683591,43.89830417621776,3.826293226608265,"https://www.google.com/maps?q=43.89830417621776,3.826293226608265",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027683594,43.897889215311714,3.826068480167534,"https://www.google.com/maps?q=43.897889215311714,3.826068480167534",Agricole,Serre,En service
BATIMENT0000000027694782,43.869175760075535,3.444442118004316,"https://www.google.com/maps?q=43.869175760075535,3.444442118004316",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027694784,43.86983671430106,3.444065988760665,"https://www.google.com/maps?q=43.86983671430106,3.444065988760665",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027699342,43.86579393696824,3.5408756048842234,"https://www.google.com/maps?q=43.86579393696824,3.5408756048842234",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027729037,43.79930466986907,4.1102598426050525,"https://www.google.com/maps?q=43.79930466986907,4.1102598426050525",Agricole,Serre,En service
BATIMENT0000000027729064,43.79503211868874,4.102339998261236,"https://www.google.com/maps?q=43.79503211868874,4.102339998261236",Agricole,Serre,En service
BATIMENT0000000027732033,43.78708980763937,4.064181134432239,"https://www.google.com/maps?q=43.78708980763937,4.064181134432239",Agricole,Serre,En service
BATIMENT0000000027744931,43.73885656577745,4.188628546364577,"https://www.google.com/maps?q=43.73885656577745,4.188628546364577",Agricole,"Industriel, agricole ou commercial",En service
BATIMENT0000000027745472,43.74112321869542,4.133446773864356,"https://www.google.com/maps?q=43.74112321869542,4.133446773864356",Agricole,Serre,En service
BATIMENT0000000027749254,43.718653580344075,4.2020761155998825,"https://www.google.com/maps?q=43.718653580344075,4.2020761155998825",Agricole,Serre,En service
